"KEGG","LOK10","EU8","ED10","EOK10","EOI20","EOI15","EN20","EN17"
"K00001",0.000407696520037249,0.000503258616300481,0.000436525978914249,0.000480061206011398,0.000611898170566282,0.000493306845623512,0.000487883126017494,0.00050776862932799
"K00002",8.59052079401521e-06,1.91631014325e-05,1.91013699960863e-05,1.79979185630995e-05,2.20066093888208e-05,3.31074802037099e-05,2.20196349322549e-05,2.71215722398734e-05
"K00003",0.000439081096315295,0.000292354614121898,0.00030412262498856,0.000282888177409197,0.000264424238179039,0.000346239150301125,0.000293560382219764,0.000279414949706531
"K00004",0.000135114112316367,0.000199500885146555,0.00013619257515166,0.000176096134597469,0.000195981767569259,0.000179646083863164,0.000174216632708473,0.000172036751920238
"K00005",1.68930495932496e-05,1.48666614856188e-05,4.80808360756455e-06,1.68335621808033e-05,2.38458776335082e-05,3.14952462270017e-05,1.55361439654524e-05,1.49372876621981e-05
"K00007",4.90640021131796e-06,8.09991082180017e-05,0.00010027725659631,8.02155700948817e-05,3.47023582240915e-05,3.4210295540058e-05,8.48294567309153e-05,6.30632495530639e-05
"K00008",0.000655897569244501,0.000228510997870345,0.000229384796846423,0.000213872266798309,0.000317608378808384,0.000242363895411286,0.00023999301699039,0.000240762856133119
"K00009",3.11685544413548e-06,6.64958116899878e-06,2.46024001794544e-06,5.5679022383466e-06,1.74206129911972e-05,2.45345543448283e-05,9.55700483553507e-06,7.76739168528519e-06
"K00010",0.000121324103785309,0.000209283566038189,0.000217815420214642,0.000208849891292783,0.00031499561109531,0.000214829713188954,0.000214397083177291,0.000235869194596629
"K00012",0.000367879853981611,0.000287115939162528,0.000211597347928266,0.000277851096755299,0.000330476129758798,0.0002596441749527,0.000262080609476692,0.000275574259727353
"K00013",0.000459783800276144,0.000271665672797562,0.000267337199924943,0.000257319032196492,0.000338891956255656,0.000358854543288749,0.000274303398640383,0.000269536067604228
"K00014",0.000588794256879849,0.000472831089969596,0.000464989232450923,0.000470892397456994,0.000451748627521652,0.000467781783185458,0.000454229710148735,0.000451005835957859
"K00015",0.000595950579652401,0.000587364473320338,0.00061591153734369,0.000577603311075483,0.000604543074865313,0.00046369932854173,0.000571292433305034,0.000586496347568225
"K00016",0.000238599620029312,4.29396719506898e-05,4.47815772142632e-05,4.44641076187317e-05,9.50054417236179e-05,0.000272608350806611,6.45405609886479e-05,6.18782568683078e-05
"K00018",0.00039778150428401,0.00030085543040745,0.000275578030902169,0.000314834712463447,0.000324505427107103,0.000363854367018164,0.00029575655564597,0.000325803767725356
"K00019",0.000674498005469176,0.00114946841353496,0.00127684457698015,0.00115135314591609,0.00135046960882577,0.000959172460958132,0.00122015479244182,0.00119953185940041
"K00020",0.000659147554561125,0.000825543203985919,0.000859452825776247,0.000762303105877949,0.000837274353203391,0.000601422652444726,0.000781480996519596,0.000754497560915155
"K00021",1.96005937666804e-05,3.23942556141347e-06,1.20757875560333e-06,4.81723582127066e-06,2.96193641591741e-05,1.3174630268942e-05,4.09423025613042e-06,6.16297521609648e-06
"K00023",0.000365053934886101,0.000681877978098137,0.000837513915297656,0.000690386033070572,0.000718139802963616,0.00056132496612236,0.000751637143992644,0.000706251250586752
"K00024",0.000549140683073048,0.000225841335273954,0.000245930463691846,0.000215760418033931,0.000255702959219727,0.000414076474936681,0.000242646500331174,0.000226168851830386
"K00027",0.000246662770025306,0.00038608219588037,0.000382757099438597,0.000352198409733621,0.000376827759794186,0.000399039192708875,0.000366862851904136,0.00034226829906841
"K00029",0.000156781906707556,0.000417657427358906,0.000422580749607211,0.000377302542814984,0.000397765847804835,0.000412529117701387,0.000391292044426453,0.000361106351950638
"K00030",0.00051174885083088,0.000106417058633737,0.000126225124932262,9.85523852352903e-05,0.000101476449257915,8.20768352831154e-05,0.000108250391022516,0.000104668837059448
"K00031",0.000658273451642986,0.000406237532606174,0.000384169602321544,0.000384406615830166,0.00038773091069643,0.000419289613871623,0.000384461577551158,0.000368088779898095
"K00032",7.6252790872626e-05,0.000117504141245735,0.000122563670661282,0.000114560455235779,7.73707870358308e-05,5.6058854163583e-05,0.000104478454225452,0.00010740555911787
"K00033",0.000186982271885996,9.63390481027534e-05,8.015934915564e-05,9.92836915667896e-05,0.000183791042890362,0.000164440339252502,0.000114231926047636,0.000138189296170688
"K00034",0.000457593519507735,0.000694204707328013,0.000783237977311839,0.000692744825642814,0.000715457879020367,0.000562459640828499,0.000746297647257524,0.000741532242780986
"K00035",1.47714446142947e-05,2.1551497019386e-05,2.79493293008806e-05,2.09511749719177e-05,4.2885464318954e-05,2.49823927734683e-05,2.19974005633311e-05,3.03721000720722e-05
"K00036",0.000273632894296194,0.000249359479707352,0.000242521349944437,0.000256512034333776,0.000292900247467487,0.000244277977041536,0.000250307226615535,0.000271878923148545
"K00038",0.000512132859543336,0.000645703507398865,0.000736553890275225,0.00065602264730519,0.000804585792696652,0.000611980494694082,0.000751396342919433,0.000763605321194633
"K00039",1.85909782948865e-05,4.65989823236843e-05,6.16669455723575e-05,4.37819529099865e-05,6.8701320511041e-05,4.76240208351853e-05,4.93155539869703e-05,5.25446117687595e-05
"K00040",7.45583230004442e-05,0.00017225164744742,0.000193498848733499,0.000166806605465967,0.000176400408034887,0.000120563552673631,0.000165405326705171,0.000148754565842612
"K00041",3.43358689736866e-06,2.28988046330611e-05,3.20025951069583e-05,1.87444639050591e-05,2.14744965526636e-05,1.98572355002755e-05,2.15430464188369e-05,1.7311724681332e-05
"K00042",0.000196861924435024,0.000372699768090704,0.000443530884677867,0.000374706348656803,0.000303365274538055,0.000230963100833071,0.00037121889415916,0.00035977048350935
"K00043",0.000106462332889083,0.000220971562660107,0.000249541651350376,0.000215294735531551,0.00018673866762768,0.000130418150921438,0.000210321743905326,0.000196431278138917
"K00045",7.52490351918688e-05,0.000117348685776912,0.000117074442300428,0.000116053341077359,0.000162259848347071,9.74316373781436e-05,0.000108833879555151,0.000109313472462411
