OTU	ED10_S_Wi2013	EN17_S_Wi2013	EN20_S_Wi2013	EOI15_S_Wi2013	EOI20_S_Wi2013	EOK10_S_Wi2013	EOK20_S_Wi2013_PS	EU08_S_Wi2013	LD10_S_Wi2013_PS_A	LN20_S_Wi2013_PS	LOK10_S_Wi2013	EN15_S_Wi2013	EN30_S_Wi2013	EB10_S_Wi2013
SWARM_1761	0	4	3	1	31	0	0	0	0	0	2	0	3	0
SWARM_1767	0	1	4	16	25	0	0	0	0	0	0	0	0	0
SWARM_1765	0	1	46	1	0	0	0	0	0	0	0	0	0	0
SWARM_1764	0	1	4	1	37	0	0	0	0	0	1	0	1	0
SWARM_3893	0	0	3	13	4	0	0	0	0	0	0	0	0	0
SWARM_3892	0	1	2	15	1	0	0	0	0	0	0	0	0	0
SWARM_1499	3	6	1	0	6	1	4	2	0	55	18	0	10	2
SWARM_1498	0	0	1	0	0	0	0	0	0	35	30	0	2	0
SWARM_1495	5	0	29	2	2	10	0	21	0	2	0	0	0	0
SWARM_1494	0	1	51	21	11	27	0	8	0	0	0	0	2	2
SWARM_1490	0	8	32	14	8	6	0	8	0	0	0	0	0	0
SWARM_1493	0	0	0	0	0	0	0	0	0	0	0	0	0	53
SWARM_33714	0	0	0	0	0	0	0	0	0	0	0	5	0	0
SWARM_10391	0	0	0	0	0	0	0	0	0	0	0	0	0	12
SWARM_5285	0	1	2	16	6	4	0	0	0	0	0	6	0	0
SWARM_2880	0	0	0	25	4	0	0	0	0	0	0	0	0	0
SWARM_2888	0	0	1	0	0	0	0	1	0	0	0	0	0	42
SWARM_6645	0	0	0	0	0	0	0	0	21	0	0	0	0	0
SWARM_6643	0	0	0	0	0	0	11	0	0	0	0	0	0	14
SWARM_6649	0	0	0	0	0	0	0	0	19	0	0	0	0	0
SWARM_2777	0	0	0	0	0	0	7	0	0	20	4	0	1	2
SWARM_2776	2	5	1	0	0	23	0	5	0	0	0	0	0	0
SWARM_2779	3	8	3	1	1	7	0	15	0	3	0	5	0	0
SWARM_2778	0	0	0	0	0	0	7	0	0	0	0	0	0	16
SWARM_7114	0	0	0	0	1	0	0	0	0	2	5	0	1	23
SWARM_3917	0	0	0	0	0	0	6	0	0	1	5	0	8	1
SWARM_3915	8	23	21	1	10	2	0	19	0	2	2	4	2	1
SWARM_3918	0	0	0	0	0	0	0	0	1	0	11	0	10	2
SWARM_1518	17	20	57	0	2	23	4	6	0	0	0	0	1	0
SWARM_1519	10	18	26	0	1	16	0	14	0	0	0	0	2	1
SWARM_1510	0	0	0	0	5	0	3	0	0	26	5	0	13	2
SWARM_1514	35	15	11	0	0	0	0	0	0	0	0	0	1	0
SWARM_1516	19	24	4	0	2	1	0	6	0	0	0	0	0	1
SWARM_1517	27	31	7	0	0	9	0	7	0	0	0	1	2	0
SWARM_3752	11	7	2	0	1	2	0	4	0	0	0	0	0	1
