"KEGG"	"ED10"	"EN17"	"EN20"	"EOI15"	"EOI20"	"EOK10"	"EU8"	"LOK10"
"K15895"	0.622	6.653	0.706	2.981	1.83	1.359	4.174	2.42
"K15896"	0.233	1.032	0.306	1.28	0.311	0.499	0.567	0.249
"K15897"	6.092	9.465	1.744	8.63	4.74	2.206	5.449	4.436
"K15898"	0.826	8.015	1.276	5.079	3.099	3.406	5.542	0.592
"K15899"	0.323	1.479	0.222	0	0.719	0.545	1.553	0.381
"K15907"	0.349	0.452	0.083	0	0.456	0	0.044	0.24
"K15910"	0.862	7.001	0.246	8.929	1.185	1.058	2.279	0.373
"K15911"	0.34	0.499	0	1.284	0.162	0.529	0.399	0
"K15912"	0.088	19.084	1.473	23.531	2.021	3.952	5.249	0.686
"K15913"	0.512	2.417	0.424	3.405	1.036	0.242	2.07	0.839
"K15914"	3.735	6.55	1.815	10.013	3.462	4.024	5.075	5.052
"K15915"	0.662	3.911	0.645	0.568	1.064	1.619	3.449	0.887
"K15916"	22.718	16.245	4.357	23.23	12.056	6.76	16.688	16.921
"K15918"	12.918	14.066	3.72	28.648	22.652	9.645	15.943	18.264
"K15919"	12.588	2.751	0.312	0.462	0.756	1.654	2.155	1.925
"K15921"	8.836	37.915	23.25	43.823	34.555	34.861	57.672	1.014
"K15922"	16.813	3.8	5.379	6.024	3.069	2.746	6.344	2.828
"K15923"	79.41	94.186	59.267	221.003	219.466	121.182	158.791	98.008
"K15924"	1.584	18.075	10.95	14.3	11.647	9.471	17.295	3.063
"K15928"	0.669	0.696	0.053	0	0.035	0.086	0.174	0.084
"K15929"	0.155	0.054	0	0	0	0.047	0.069	0
"K15935"	0.145	0.345	0.06	0	0.065	0	0	0
"K15943"	1.003	0.853	0	0	0.221	0.057	0.075	0.042
"K15945"	2.49	0.834	0.107	1.07	1.506	0.688	0.657	2.177
"K15970"	8.983	4.162	1.291	4.126	4.378	4.663	4.256	6.283
"K15971"	0.344	0.614	0.166	1.251	0.557	0.541	0.534	0
"K15972"	0.28	0.249	0.193	0	0.066	0.495	0.392	0.787
"K15973"	81.873	54.304	21.842	57.542	27.421	26.027	36.304	31.181
"K15974"	17.212	8.741	5.932	8.944	4.26	4.766	7.546	3.019
"K15975"	57.661	18.997	4.596	10.905	9.795	12.401	20.163	12.328
"K15976"	2.374	14.06	7.507	13.561	13.991	5.522	8.657	21.811
"K15977"	199.828	135.206	21.681	178.445	99.105	59.582	106.7	136.605
"K15980"	8.011	7.42	0.725	2.783	4.522	3.533	4.41	12.791
"K15981"	20.873	6.872	2.119	15.212	20.565	7.77	13.897	28.018
"K15982"	21.923	4.189	2.412	13.614	20.662	5.853	14.576	30.157
"K15983"	16.223	4.642	0.999	2.766	2.707	3.323	5.62	13.412
"K15984"	2.632	24.617	3.523	33.848	22.308	6.897	19.458	12.112
"K15986"	30.691	60.38	16.08	47.8	20.398	22.944	35.057	4.145
"K15987"	566.91	353.073	107.898	449.959	395.79	284.16	415.819	340.395
"K16011"	125.357	49.819	8.244	26.98	29.15	36.523	55.179	27.681
"K16012"	9.399	7.533	1.381	51.51	10.663	5.472	8.208	1.529
"K16013"	11.114	7.184	1.067	44.294	9.376	4.478	8.095	2.766
"K16014"	36.257	4.345	1.242	3.192	2.235	4.572	6.908	13.604
"K16015"	2.119	1.468	0.389	2.76	1.339	0.656	1.831	2.081
"K16016"	3.947	1.268	0.18	3.162	1.226	0.94	1.369	1.629
"K16020"	7.002	0.665	0.578	0.108	0.384	0.322	0.941	1.094
"K16022"	0.348	0.484	0.052	0	0.199	0.41	0.431	0.076
"K16025"	0.457	0.737	0	0.491	1.058	0.241	0.819	2.353
"K16026"	0.139	0.105	0	0	0.058	0.185	0.036	0.235
"K16027"	3.073	2.749	1.409	1.731	3.402	1.254	1.785	7.061
"K16028"	7.151	2.812	0.042	1.744	1.325	0.921	1.224	2.075
"K16031"	0.083	0.054	0	0	0.038	0	0	0
"K16033"	2.321	1.273	0.464	1.394	1.211	1.56	1.662	2.732
"K16036"	0.683	0.223	0	0	0.017	0	0.036	0.048
"K16037"	0.59	0.608	0.05	0	0.078	1.612	1.249	0.326
"K16038"	0.726	0.71	0.342	1.185	0.459	0.448	0.731	3.194
"K16039"	2.976	0.943	0.165	0.877	0.345	0.239	0.236	1.003
"K16040"	1.089	0.564	0.297	0.892	0.924	0.511	0.486	0.854
"K16043"	2.922	3.192	2.265	12.726	4.489	3.71	5.801	3.217
"K16044"	36.943	30.218	14.937	27.688	20.305	18.465	26.72	11.366
"K16045"	1.016	1.165	0.103	1.339	2.568	1.396	1.66	5.916
"K16046"	25.914	3.212	1.499	3.634	4.575	6.476	7.237	36.591
"K16047"	36.319	12.325	4.154	8.668	18.095	11.781	23.751	21.438
"K16048"	99.991	19.674	3.681	9.759	14.612	10.476	23.164	27.568
"K16049"	17.799	4.299	1.492	4.324	6.439	3.368	9.596	6.377
"K16050"	31.237	16.164	5.268	18.895	11.298	7.746	12.301	17.077
"K16051"	19.803	5.474	2.844	18.89	25.43	11.641	18.776	66.172
"K16052"	36.828	140.863	28.878	247.421	192.754	62.687	110.587	287.683
"K16053"	4.173	53.275	21.831	69.449	54.561	26.94	48.746	50.64
"K16055"	7.616	22.174	10.783	30.594	24.959	16.597	22.228	20.913
"K16066"	32.502	37.36	11.145	29.01	24.876	24.326	33.088	28.547
"K16074"	21.328	40.795	8.801	25.451	24.037	17.076	38.525	28.593
"K16077"	0.057	0.311	0.105	0	0.025	0.175	0.062	0
"K16079"	95.784	34.331	5.114	5.62	4.199	11.379	16.573	4.728
"K16080"	6.367	1.979	0.74	2.123	0.807	1.205	2.213	0.187
"K16081"	6.05	2.305	0.817	1.569	0.782	1.152	1.893	5.672
