"KEGG"	"ED10"	"EN17"	"EN20"	"EOI15"	"EOI20"	"EOK10"	"EU8"	"LOK10"
"K00001"	399.467	250.715	84.192	387.438	249.787	141.174	229.16	295.382
"K00002"	6.2	16.345	6.173	21.208	16.722	9.64	13.18	11.499
"K00003"	345.919	217.156	49.456	260.56	164.21	111.589	185.833	153.376
"K00004"	23.069	10.909	3.34	16.864	14.088	4.758	11.971	23.499
"K00005"	4.003	9.35	2.681	7.78	11.798	5.741	8.606	11.805
"K00007"	37.184	5.402	1.021	0	0.428	3.502	10.628	0
"K00008"	105.46	97.214	29.568	225.205	113.493	54.302	84.473	117.076
"K00009"	2.966	6.53	3.999	16.806	8.008	4.16	6	1.46
"K00010"	408.262	150.95	58.098	317.054	175.668	132.462	178.908	219.833
"K00011"	32.184	9.563	2.059	1.577	2.428	8.727	8.208	9.155
"K00012"	319.158	248.083	67.875	280.554	239.049	165.387	274.892	224.042
"K00013"	296.49	208.739	53.081	222.809	169.791	118.1	203.291	146.878
"K00014"	320.615	208.754	49.701	223.996	139.996	108.125	183.408	147.566
"K00015"	131.983	49.188	10.767	57.994	42.313	29.614	54.523	89.94
"K00016"	36.587	18.797	10.743	24.348	13.497	13.292	17.19	26.89
"K00018"	27.816	75.542	15.737	89.403	56.809	34.538	57.704	39.542
"K00019"	182.478	48.274	16.025	31.669	36.017	42.417	69.093	64.727
"K00020"	312.345	125.263	27.208	121.088	105.973	82.748	148.598	173.706
"K00021"	18.245	17.499	5.144	34.921	36.387	18.008	28.876	64.866
"K00022"	0.896	0.144	0.112	0.24	0.726	0.625	0.616	1.359
"K00023"	166.37	43.643	9.466	42.876	29.071	44.769	65.044	43.168
"K00024"	316.142	204.167	48.348	232.451	175.792	131.229	208.424	196.397
"K00027"	124.96	79.608	27.226	71.867	50.414	42.225	57.138	67.712
"K00029"	524.533	275.155	64.944	228.506	211.558	197.912	344.241	197.104
"K00030"	86.546	26.211	7.596	30.288	23.662	22.199	28.396	56.015
"K00031"	448.224	382.547	95.58	429.553	362.795	242.999	410.11	298.949
"K00032"	0.514	0.128	0.115	0.356	0.067	0.127	0.089	0.184
"K00033"	275.756	144.596	32.954	241.262	161.43	113.827	171.539	138.291
"K00034"	87.509	19.381	4.61	15.546	15.366	16.191	28.143	36.204
"K00035"	28.317	9.987	4.03	4.77	6.441	9.648	7.602	1.052
"K00036"	388.51	187.759	41.792	230.393	160.751	124.689	197.646	167.024
"K00038"	33.886	11.04	2.756	8.273	14.239	6.751	14.744	46.242
"K00039"	32.659	5.242	1.727	4.906	2.081	2.257	5.891	2.41
"K00040"	50.728	13.902	3.326	2.816	6.337	5.845	12.191	4.812
"K00041"	12.343	16.11	2.734	0.841	5.575	7.655	14.721	0.875
"K00042"	157.185	73.126	16.994	87.088	39.32	42.318	66.723	31.992
"K00043"	75.512	12.791	5.061	4.824	5.716	10.558	26.44	13.727
"K00044"	1.528	0.329	0.218	0.967	1.172	0.456	0.646	0.767
"K00045"	39.11	9.354	1.815	14.522	11.496	3.257	12.624	8.6
"K00046"	199.618	78.704	26.04	83.169	61.029	59.206	104.532	67.905
"K00048"	2.096	1.282	0.315	0.904	1.483	1.014	1.385	1.113
"K00049"	0.344	0	0.047	0.375	0.133	0.094	0.311	0.376
"K00050"	1.927	0.506	0.106	0	0.675	0.311	1.028	1.128
"K00052"	355.186	254.827	62.823	345.268	244.121	161.715	264.98	242.688
"K00053"	314.635	249.286	65.562	286.225	223.896	146.964	246.467	180.942
"K00054"	12.795	48.771	11.429	71.572	54.317	30.465	55.013	60.638
"K00055"	11.314	7.3	1.709	4.273	6.479	3.317	6.077	9.054
"K00057"	261.143	202.378	52.588	204.264	157.8	110.315	179.718	168.183
"K00058"	623.447	467.599	118.479	435.95	365.404	254.144	407.563	362.616
"K00059"	1517.229	731.977	188.974	754.388	594.664	474.939	765.907	880.113
"K00060"	106.589	60.342	30.025	118.643	86.339	55.023	77.082	90.857
"K00062"	0.731	0.385	0.047	0.739	0.427	0.258	0.653	0.522
"K00064"	63.252	22.425	6.638	28.927	21.585	13.855	22.884	30.601
"K00065"	143.004	47.653	15.209	89.705	65.34	44.167	68.396	64.899
"K00066"	31.086	20.618	4.475	12.594	19.197	10.999	20.495	36.998
"K00067"	183.174	172.625	44.923	180.877	125.217	88.525	165.238	113.233
"K00068"	4.748	9.097	5.139	24.406	12.305	8.434	10.284	3.174
"K00069"	0.901	0.165	0.111	0.333	0.621	0.384	0.588	0.793
"K00071"	0.133	0	0.056	0	0.106	0.146	0.105	0.051
"K00073"	17.062	14.037	4.259	20.855	7.043	8.135	12.073	10.09
"K00074"	403.101	174.542	56.245	234.12	175.405	124.175	212.766	197.899
"K00075"	243.098	181.002	46.174	181.078	129.589	96.736	163.153	124.734
"K00076"	29.628	27.338	4.617	24.367	11.991	10.367	24.549	32.907
"K00077"	315.805	182.45	45.438	180.081	124.569	114.965	164.528	215.917
"K00078"	48.849	21.375	13.26	35.528	21.278	13.447	23.137	14.648
"K00079"	1.587	2.149	0	0.887	2.892	2.711	2.166	5.794
"K00082"	16.949	2.035	0.466	4.568	1.082	0.796	1.807	1.662
"K00083"	0.235	0.102	0.033	0	0.321	0.101	0.198	0.64
"K00086"	1.738	4.751	0.815	0.613	0.827	1.219	1.252	1.435
"K00087"	92.712	46.31	14.31	130.638	66.404	38.773	45.841	110.785
"K00088"	499.575	294.745	78.624	357.046	283.574	190.406	319.916	276.878
"K00090"	77.235	13.313	2.919	9.704	2.6	7.554	21.245	0.946
"K00091"	99.823	89.817	29.744	126.704	96.749	61.527	108.766	136.307
"K00096"	14.224	17.001	4.812	19.474	13.908	6.733	10.033	23.274
"K00097"	176.412	145.441	32.012	113.328	95.726	77.148	133.751	71.899
"K00098"	63.618	14.227	2.714	8.687	5.244	6.727	16.223	9.438
"K00099"	250.849	172.33	52.787	192.877	145.264	100.45	162.745	119.728
"K00101"	154.723	59.271	14.786	33.467	50.214	39.68	75.876	64.144
"K00102"	545.966	182.266	40.915	177.308	122.99	116.61	206.515	117.037
"K00103"	47.747	10.807	2.178	13.172	13.791	5.407	13.885	18.38
"K00104"	365.976	258.378	60.323	305.624	195.268	147.284	224.734	170.895
"K00106"	0.751	1.291	0.23	0.618	1.962	0.998	1.463	2.575
"K00107"	1.225	0.643	0	0.485	0.854	0.039	0.178	2.304
"K00108"	664.536	158.799	41.33	70.666	118.111	117.428	230.682	229.766
"K00109"	1.418	1.246	0.183	0	0.644	0.503	0.496	1.002
"K00111"	357.896	221.725	72.586	275.025	183.915	119.914	211.256	220.405
"K00112"	11.893	15.003	6.766	44.059	15.938	7.828	12.03	11.648
"K00113"	100.353	60.644	9.821	101.979	75.42	38.136	56.161	80.054
"K00114"	242.108	75.309	13.288	10.868	28.398	70.471	87.702	57.027
"K00115"	0.106	0.069	0	0	0	0	0.187	0
"K00116"	7.858	42.566	4.445	37.989	24.485	9.987	25.62	3.184
"K00117"	351.065	126.266	31.003	73.547	109.787	122.858	151.602	287.115
"K00118"	38.979	15.288	5.253	12.714	15.667	14.285	17.564	9.747
"K00121"	336.022	92.202	26.06	69.797	104.591	85.022	145.558	197.256
"K00122"	282.652	77.028	33.1	84.106	91.779	71.944	123.875	243.482
"K00123"	876.067	503.505	112.82	515.65	388.863	317.181	491.666	442.09
"K00124"	256.678	177.462	49.166	331.898	152.857	105.912	153.839	121.635
"K00125"	3.327	24.505	7.948	94.714	21.338	12.877	15.245	8.525
"K00126"	42.857	5.175	1.617	6.426	4.134	3.265	8.113	2.727
"K00127"	132.977	58.97	9.494	65.71	40.778	29.892	54.294	65.633
"K00128"	669.108	265.077	77.825	215.426	266.385	222.876	354.282	381.46
"K00129"	12.91	5.414	0.634	20.053	8.212	3.131	4.688	24.261
"K00130"	185.788	28.305	5.469	15.495	10.686	19.335	32.019	20.745
"K00131"	9.578	14.285	5.528	18.635	11.605	10.24	19.419	10.488
"K00132"	15.087	6.938	0.988	7.378	2.798	3.2	5.008	2.346
"K00133"	352.214	257.882	63.38	242.743	202.062	156.95	243.973	189.354
"K00134"	495.614	378.038	101.284	418.502	334.65	227.656	396.336	259.185
"K00135"	536.298	186.609	40.482	166.524	163.334	122.173	213.24	185.406
"K00137"	88.679	14.217	3.313	2.376	3.725	12.036	21.746	0.704
"K00138"	78.101	21.649	6.286	21.478	23.507	20.534	41.699	11.864
"K00140"	388.464	133.217	30.577	146.377	111.509	99.285	162.842	143.85
"K00141"	44.558	9.777	2.314	0.612	0.944	6.047	12.623	0.863
"K00142"	0.46	0.948	0	1.008	1.715	0.712	0.649	1.771
"K00143"	1.496	1.547	0.526	1.603	2.334	0.669	1.08	3.184
"K00145"	258.533	179.027	41.668	158.417	130.533	93.716	159.565	110.45
"K00146"	13.334	5.69	1.354	3.259	4.198	4.284	6.495	11.305
"K00147"	280.024	195.883	46.558	216.591	176.285	113.235	195.9	141.143
"K00148"	4.864	3.064	0.92	0.651	0.769	2.863	2.465	2.722
"K00150"	37.485	12.458	2.211	22.579	12.85	4.354	6.82	34.713
"K00151"	92.467	19.791	4.146	6.741	13.002	12.192	29.226	14.604
"K00152"	3.955	0.67	0	0	0	0.322	2.256	0
"K00153"	49.656	5.631	1.189	5.009	5.334	4.262	9.357	6.738
"K00154"	87.53	27.018	9.749	24.223	38.653	23.73	52.942	30.508
"K00156"	6.884	5.642	1.195	2.85	3.363	4.162	5.042	2.727
"K00158"	7.302	9.777	0.856	49.467	42.229	6.257	11.017	143.569
"K00161"	215.07	90.025	22.701	75.471	73.176	58.404	104.605	95.613
"K00162"	210.268	83.849	17.616	71.216	67.357	53.503	102.236	92.417
"K00163"	550.161	235.393	55.714	309.089	293.505	185.601	314.687	304.149
"K00164"	577.39	284.93	70.826	275.138	298.222	218.032	366.754	262.814
"K00166"	89.689	25.671	5.322	18.865	24.62	16.045	27.398	38.41
"K00167"	100.522	22.97	6.222	15.313	27.152	20.882	30.603	39.164
"K00169"	87.864	140.264	22.776	148.147	93.158	52.136	75.757	122.696
"K00170"	67.936	107.779	16.858	126.037	58.887	35.561	57.266	83.008
"K00171"	19.494	43.325	8.835	62.378	15.176	15.987	17.691	24.671
"K00172"	51.146	103.982	16.901	120.706	59.25	31.749	46.762	85.265
"K00174"	465.933	409.411	119.469	669.372	441.75	280.685	377.193	552.764
"K00175"	305.795	298.193	88.887	530.034	292.829	197.318	270.949	365.913
"K00176"	19.759	90.065	35.927	170.212	57.456	46.081	51.716	46.887
"K00177"	18.219	98.968	36	209.841	86.786	59.178	66.562	67.356
"K00179"	150.77	203.442	63.59	304.877	171.504	115.314	156.789	112.586
"K00180"	82.769	104.926	37.198	148.143	68.526	56.238	68.937	48.668
"K00183"	11.079	7.436	2.402	9.22	8.96	5.169	6.802	9.45
"K00184"	256.243	316.505	91.355	432.025	309.876	193.243	269.071	365.313
"K00185"	218.712	370.114	95.393	474.094	348.139	200.591	293.259	341.036
"K00186"	15.114	5.095	1.256	6.459	3.963	1.678	3.044	11.532
"K00187"	17.805	11.38	3.855	13.304	9.051	5.573	5.811	15.826
"K00188"	0.048	1.378	0.369	3.658	0.937	0.758	1.255	0.883
"K00192"	0.057	8.505	0.854	2.329	3.489	1.481	3.289	0.404
"K00193"	0.063	3.705	0.283	1.909	2.241	1.233	1.624	0.5
"K00194"	7.175	42.945	9.305	81.848	41.282	18.062	25.214	17.965
"K00196"	9.225	19.924	5.593	53.499	15.157	9.241	13.355	10.145
"K00197"	11.575	84.255	25.069	147.251	73.774	34.186	45.594	42.504
"K00198"	17.937	152.244	39.325	337.166	159.998	73.479	96.869	73.455
"K00200"	44.704	19.67	2.225	3.966	10.75	9.337	15.199	23.277
"K00201"	29.811	14.803	1.976	2.782	7.763	7.045	9.288	20.42
"K00202"	17.841	7.818	0.972	1.352	2.729	2.148	4.294	5.151
"K00203"	0.501	3.47	0.625	0.261	1.768	0.411	1.481	5.364
"K00205"	0.899	2.9	0.367	2.077	1.046	0.36	1.01	0.823
"K00207"	0.832	0.889	0.584	0.56	1.355	0.974	1.524	5.284
"K00208"	333.737	181.591	45.048	145.984	123.901	130.187	181.784	143.604
"K00209"	7.025	15.561	3.82	22.081	28.316	11.618	26.236	14.88
"K00210"	0.703	9.908	4.701	23.469	11.158	5.697	6.337	5.418
"K00213"	0.362	0.07	0	0.397	0.175	0.495	0.411	0.457
"K00214"	0.465	1.096	1.727	0.721	1.523	0.585	1.088	0.758
"K00215"	215.042	181.061	40.149	168.16	118.514	83.167	154.715	106.928
"K00216"	2.961	2.418	0.511	2.57	2.009	1.322	3.276	4.818
"K00217"	62.279	10.354	2.66	1.191	2.837	9.814	10.803	6.05
"K00218"	28.208	11.088	6.788	46.455	20.471	6.623	14.576	25.332
"K00219"	310.193	156.543	49.773	275.341	178.044	98.899	195.752	146.048
"K00220"	66.012	11.434	2.593	4.647	7.292	6.479	14.576	11.046
"K00221"	2.192	0.544	0.199	1.687	0.983	0.267	0.455	2.565
"K00222"	2.135	2.212	1.392	1.745	2.713	2.688	4.624	2.557
"K00225"	0.103	0.581	0	1.54	0.445	0	0.341	0.474
"K00226"	81.014	108.48	40.397	185.819	111.054	70.989	92.073	66.498
"K00227"	64.648	12.414	2.647	2.857	7.221	9.567	18.631	16.06
"K00228"	165.777	105.665	16.302	95.075	78.659	59.101	119.269	77.519
"K00230"	56.846	54.382	17.437	69.65	37.909	17.83	36.818	24.164
"K00231"	102.256	84.696	18.972	77.479	56.444	42.4	51.044	87.617
"K00232"	25.863	4.634	1.091	6.157	2.816	2.973	5.14	15.915
"K00236"	0.123	0	0	0	0	0	0.038	0
"K00239"	565.788	394.465	96.092	583.512	398.123	278.839	413.638	356.802
"K00240"	309.044	207.686	50.044	255.083	178.365	134.611	209.282	182.101
"K00241"	172.352	141.056	34.794	173.568	97.706	66.14	117.862	98.054
"K00242"	104.811	40.769	8.207	59.344	33.146	24.911	48.223	42.757
"K00243"	7.192	90.305	33.522	64.018	44.555	29.569	64.494	11.398
"K00244"	158.556	111.447	27.467	95.675	95.926	64.443	100.941	150.446
"K00245"	55.968	49.367	7.741	56.632	30.598	24.915	40.018	62.699
"K00246"	33.913	25.001	5.963	27.92	17.011	15.192	21.739	38.759
"K00247"	17.126	6.605	1.233	9.342	5.495	6.893	8.567	25.804
"K00248"	377.326	162.326	57.968	180.372	143.866	118.033	204.627	153.356
"K00249"	2014.179	469.991	156.409	554.126	650.321	470.262	798.118	1223.184
"K00252"	300.293	118.022	31.792	89.416	102.818	98.778	166.143	160.988
"K00253"	242.139	76.313	20.042	62.613	74.813	74.098	128.631	145.68
"K00254"	171.808	103.746	20.687	66.547	63.395	50.459	111.59	40.787
"K00255"	39.545	2.792	0.861	1.203	1.639	2.199	8.768	0.51
"K00256"	21.618	33.494	5.789	26.035	19.519	19.599	26.717	27.203
"K00257"	70.621	10.571	1.977	24.988	8.845	5.638	13.478	23.927
"K00259"	247.488	216.443	49.851	248.155	194.064	123.946	202.312	198.569
"K00260"	0.691	1.849	0.121	1.159	0.294	0.347	0.347	0.254
"K00261"	179.9	123.46	27.999	196.06	138.011	87.517	142.936	283.779
"K00262"	63.229	197.504	60.87	305.168	191.23	113.628	163.336	157.573
"K00263"	30.531	29.386	6.134	41.906	45.736	22.083	44.032	98.02
"K00264"	0.861	0.681	0.133	0.665	1.462	0.914	0.818	1.094
"K00265"	498.696	392.259	75.544	444.76	378.356	209.956	360.406	300.868
"K00266"	483.119	339.888	101.804	512.278	362.05	218.703	349.099	236.955
"K00271"	22.35	1.422	0.038	0.474	0.079	0.2	0.839	0.415
"K00272"	0.271	0.125	0.05	0	0.238	0.089	0	0.352
"K00273"	94.964	23.74	5.422	9.249	11.868	17.011	31.3	30.988
"K00274"	131.555	61.663	14.229	50.636	31.809	29.416	43.573	61.715
"K00275"	171.739	86.573	22.624	57.03	53.841	44.638	85.656	71.871
"K00276"	44.84	12.528	1.537	1.276	6.537	7.522	13.43	20.638
"K00277"	0.301	0	0	0	0	0	0	0.081
"K00278"	237.113	234.883	59.643	260.153	183.087	126.056	202.748	129.113
"K00279"	16.839	3.368	0.778	2.492	2.371	2.407	4.287	5.119
"K00280"	1.713	0.564	0	1.286	1.461	0.112	0.825	2.353
"K00281"	455.329	155.613	48.826	153.693	157.416	156.583	264.689	177.546
"K00282"	105.726	120.464	37.844	208.269	135.563	67.562	96.499	108.63
"K00283"	128.475	127.969	35.837	235.331	154.923	78.551	112.829	125.512
"K00284"	183.333	85.51	16.9	53.835	78.018	60.885	105.494	103.993
"K00285"	358.294	98.676	21.04	41.087	51.315	63.926	126.716	107.011
"K00286"	242.719	167.144	45.095	189.394	134.393	84.038	151.632	133.099
"K00287"	141.333	155.498	44.517	122.834	83.88	69.366	127.451	74.988
"K00288"	0.206	1.283	0	0.706	0.944	1.464	1.455	0.643
"K00290"	193.334	105.791	32.612	91.613	59.956	66.171	111.238	79.984
"K00293"	18.832	22.648	9.797	47.058	27.385	14.24	22.5	16.937
"K00294"	158.142	114.402	46.602	155.947	129.1	89.93	138.541	104.777
"K00297"	308.787	292.797	93.517	499.651	275.263	165.821	263.627	234.777
"K00298"	4.125	2.496	1.088	12.203	4.921	1.902	1.84	4.022
"K00299"	28.35	9.004	3.651	12.114	6.968	4.224	9.474	14.368
"K00301"	24.324	8.482	2.376	9.362	3.264	5.296	5.734	7.986
"K00302"	240.393	84.544	42.979	129.557	84.722	42.145	89.141	159.541
"K00303"	252.511	85.93	26.388	168.048	96.31	51.733	90.552	196.653
"K00304"	97.319	12.152	3.518	5.652	8.358	6.232	16.409	36.887
"K00305"	63.898	8.69	1.771	3.205	4.69	3.556	9.816	26.466
"K00306"	5.534	2.357	0.266	4.57	4.004	1.754	2.66	11.489
"K00311"	306.291	93.766	22.901	77.852	98.655	86.54	150.587	145.688
"K00313"	21.71	17.103	2.212	16.586	8.291	5.783	9.1	20.474
"K00314"	55.116	7.91	0.779	3.871	8.037	3.739	9.214	38.406
"K00315"	263.004	65.595	10.929	53.058	107.944	39.305	95.287	299.048
"K00316"	33.82	22.135	3.562	21.844	43.502	10.641	15.547	108.983
"K00317"	89.185	29.193	3.414	40.242	46.511	16.806	27.956	120.456
"K00318"	91.041	78.934	28.344	97.035	56.147	44.823	70.022	47.864
"K00320"	120.635	28.235	6.122	47.939	36.799	27.587	37.722	130.483
"K00322"	40.784	41.504	10.536	40.432	40.146	37.06	58.164	40.248
"K00324"	420.057	236.144	64.68	259.551	222.428	154.623	255.899	238.318
"K00325"	371.452	184.411	50.897	221.656	201.528	127.03	223.691	215.516
"K00326"	7.622	5.475	0.942	1.751	1.134	2.468	4.058	1.455
"K00329"	21.035	2.832	0.44	0	0.946	0.497	4.155	3.391
"K00330"	217.099	157.351	27.771	156.875	94.249	86.088	116.87	119.038
"K00331"	303.713	181.533	36.441	262.954	132.052	116.312	163.183	143.659
"K00332"	224.395	159.521	32.339	179.471	93.071	77.692	112.061	106.913
"K00333"	420.029	249.166	60.107	284.129	195.84	158.457	227.771	195.508
"K00334"	239.646	158.283	56.761	273.203	132.34	95.714	140.044	120.43
"K00335"	475.064	307.917	90.674	477.186	313.182	222.826	317.004	281.633
"K00336"	417.787	294.806	61.739	296.673	201.696	163.223	254.039	184.051
"K00337"	383.895	274.588	59.09	310.571	215.025	160.687	229.265	231.502
"K00338"	262.246	186.698	36.046	185.234	103.427	92.013	140.661	129.912
"K00339"	219.068	183.927	35.318	186.949	103.312	88.373	131.665	124.627
"K00340"	209.537	152.466	34.32	155.425	90.895	85.726	120.705	111.427
"K00341"	540.618	357.62	72.309	428.888	309.35	230.302	341.527	334.239
"K00342"	467.333	374.672	76.724	476.648	312.37	229.445	339.793	291.352
"K00343"	362.958	276.127	44.274	257.97	183.306	146.623	213.894	198.275
"K00344"	908.963	352.626	88.682	401.598	339.704	257.328	421.234	548.132
"K00346"	29.121	92.701	27.57	88.255	97.888	48.078	88.635	113.802
"K00347"	29.139	94.418	30.926	103.263	100.559	49.249	94.332	112.592
"K00348"	24.574	70.709	29.385	78.884	70.48	39.117	69.369	80.555
"K00349"	23.353	71.45	27.347	83.339	77.37	41.661	76.628	88.106
"K00350"	23.983	70.687	28.237	100.334	77.91	40.426	77.387	89.341
"K00351"	52.325	108.992	36.097	130.187	126.892	61.292	118.232	132.076
"K00354"	22.327	25.361	6.724	18.069	13.035	11.621	19.432	11.101
"K00355"	72.507	28.901	8.678	57.183	27.115	13.351	26.715	19.2
"K00356"	6.921	0.501	0.08	0	0.587	0.425	1.268	1.973
"K00357"	0.618	0.502	0.123	0.448	0.554	0.368	0.675	0.191
"K00360"	4.725	0.793	0.156	0.308	0.054	0.086	0.5	0.127
"K00362"	280.51	174.078	36.882	149.938	149.468	89.398	176.821	35.862
"K00363"	112.817	35.592	5.613	36.57	32.194	22.68	37.569	30.679
"K00364"	66.977	43.384	15.595	12.333	16.353	23.651	43.438	13.132
"K00365"	17.448	5.51	0.749	0.32	1.169	2.548	3.287	2.569
"K00366"	27.869	39.424	3.457	19.881	6.197	13.988	17.489	2.855
"K00367"	3.122	14.745	2.082	12.846	6.78	5.551	12.599	4.296
"K00368"	134.652	36.594	8.187	26.348	21.902	27.036	46.04	57.486
"K00370"	435.111	140.424	27.796	100.317	91.712	85.662	168.643	181.868
"K00371"	231.753	68.54	14.001	56.21	37.942	39.297	79.652	82.713
"K00372"	287.16	142.381	18.908	109.979	103.195	70.141	138.9	32.758
"K00373"	92.781	21.072	4.389	22.751	9.842	13.502	27.204	12.863
"K00374"	113.982	73.899	15.084	93.719	55.42	32.596	57.306	46.793
"K00375"	204.716	71.59	18.721	30.098	38.365	35.139	76.146	70.635
"K00376"	91.545	80.181	11.765	112.922	105.396	46.504	100.061	117.998
"K00380"	69.248	31.585	9.862	9.527	15.255	23.132	47.866	15.6
"K00381"	231.767	62.558	18.332	19.912	48.12	65.48	109.705	47.04
"K00382"	852.221	493.503	128.402	624.198	513.719	334.711	582.833	441.05
"K00383"	168.306	85.87	15.696	77.829	100.374	53.435	101.076	108.123
"K00384"	622.993	443.536	116.431	451.966	333.989	253.456	398.621	308.824
"K00385"	0.732	1.676	0.244	0	0.026	0.659	0.353	0.05
"K00387"	88.246	27.278	5.96	36.264	21.974	17.366	22.135	32.859
"K00389"	41.126	9.922	4.685	12.558	4.064	6.723	10.833	8.431
"K00390"	157.562	61.449	20.592	33.991	47.537	43.988	79.743	63.473
"K00392"	63.02	34.883	7.137	10.912	26.437	24.101	44.771	68.309
"K00394"	66.096	198.19	32.364	337.612	254.6	77.263	130.676	161.107
"K00395"	30.795	86.769	14.371	143.314	81.261	31.882	53.384	63.55
"K00400"	0.07	2.047	0.151	0	0.157	0.889	0.444	0.035
"K00404"	219.056	173.86	31.006	167.144	170.438	83.357	168.508	132.085
"K00405"	145.883	117.755	20.231	111.833	99.174	56.721	98.26	101.199
"K00406"	222.096	206.737	34.486	229.068	180.891	84.549	183.382	129.731
"K00407"	90.852	49.836	5.087	57.328	28.824	20.378	37.942	32.381
"K00410"	12.044	3.852	0.536	0.525	0.474	0.939	1.912	0
"K00411"	142.018	72.071	9.95	72.731	60.711	37.122	74.87	55.802
"K00412"	215.313	154.575	26.54	151.121	136.851	81.65	143.864	137.841
"K00413"	104.782	71.446	9.811	74.656	50.815	30.005	66.361	37.139
"K00415"	0.104	0.243	0.075	0.104	0	0.089	0	0.071
"K00422"	0.819	0.079	0	0	0.026	0.204	0.082	0.048
"K00423"	12.286	3.95	0.583	3.958	1.885	1.219	2.859	3.036
"K00425"	167.931	151.711	45.829	186.811	93.504	90.966	129.15	34.659
"K00426"	144.128	123.423	36.775	147.852	61.395	70.631	96.765	22.616
"K00427"	0.214	0.93	0	0	0	0.416	1.93	0
"K00428"	212.469	244.604	38.143	282.243	267.285	112.438	232.814	341.787
"K00431"	0.331	0.145	0	0	0	0	0	0.185
"K00432"	188.843	103.97	42.32	72.12	61.58	73.172	134.362	64.28
"K00433"	126.964	41.862	10.724	21.821	17.278	40.119	46.805	19.426
"K00435"	19.913	5.245	0.793	1.873	2.875	3.232	5.192	10.375
"K00436"	94.982	98.445	20.868	164.966	96.761	47.523	79.913	55.056
"K00437"	1.057	6.577	1.516	36.38	11.545	5.14	6.393	8.38
"K00440"	0.134	0.24	0	0.909	0.247	0.243	0.13	0.332
"K00441"	33.832	20.292	9.443	36.422	22.448	12.792	17.58	33.679
"K00442"	0.514	5.106	2.174	9.387	2.128	2.041	2.444	3.634
"K00446"	93.949	20.423	4.928	4.664	10.855	13.784	26.226	10.402
"K00448"	28.92	10.834	1.517	1.131	3.492	5.909	12.245	7.363
"K00449"	97.53	34.559	5.527	9.255	17.018	22.983	39.262	42.436
"K00450"	106.277	35.211	6.22	2.695	7.475	26.493	41.821	15.361
"K00451"	155.26	66.325	13.211	35.339	36.907	50.115	82.988	50.389
"K00452"	20.591	17.918	4.16	11.949	12.548	11.938	24.983	30.894
"K00453"	145.431	38.985	9.589	7.49	27.239	28.121	59.914	56.632
"K00455"	46.073	7.633	2.427	2.865	3.074	4.264	13.247	4.912
"K00456"	5.058	1.65	0.214	0.373	1.875	2.045	1.902	6.516
"K00457"	305.422	91.6	22.621	52.489	64.279	74.294	140.109	80.379
"K00459"	488.34	231.778	69.129	212.667	159.898	133.997	218.665	214.183
"K00461"	1.172	0.26	0.055	0.268	0.917	0.091	1.364	0.747
"K00462"	0.159	0.195	0	0.295	0.682	0.253	0.081	0.72
"K00463"	11.741	1.904	0.786	0	1.02	3.143	2.477	3.323
"K00464"	2.241	2.573	0.612	1.043	4.076	1.789	2.933	12.891
"K00466"	29.081	5.038	0.863	0.809	1.004	2.733	7.169	3.293
"K00467"	30.514	11.04	2.008	7.085	7.424	5.211	8.305	11.874
"K00469"	6.876	3.523	1.312	0.453	2.594	3.821	5.867	5.761
"K00471"	34.558	10.244	0.817	0.855	6.417	3.366	8.38	32.781
"K00472"	62.567	10.433	3.636	3.368	5.553	8.626	15.764	8.343
"K00473"	0.875	0	0	0.543	0.152	0	0.061	0
"K00474"	3.141	1.016	0.068	0	0.414	0.464	0.433	1.748
"K00475"	1.804	0.178	0.067	0	0.164	0.204	0.484	0.268
"K00476"	12.043	2.609	0.378	0.851	1.263	1.111	2.374	2.377
"K00477"	42.31	30.045	4.276	34.922	19.254	11.474	20.832	61.909
"K00479"	92.393	27.676	4.793	14.127	29.1	20.227	31.352	60.741
"K00480"	94.031	25.404	4.594	3.169	6.78	14.666	29.079	15.205
"K00481"	116.3	30.326	6.329	3.431	14.434	25.977	45.396	16.289
"K00483"	42.602	24.005	4.087	1.825	11.267	20.19	27.408	26.181
"K00484"	0.539	0.465	0.281	0.935	0.35	0.203	0.476	0.999
"K00485"	35.527	7.328	1.412	3.731	7.67	3.526	10.045	27.523
"K00486"	13.349	17.732	4.614	8.021	24.085	12.485	31.388	43.591
"K00491"	1.925	0.783	0	0	0.265	0.109	0.621	0.172
"K00493"	71.408	8.06	1.283	9.067	4.973	5.559	12.046	8.785
"K00494"	11.409	2.985	0.861	0.27	1.652	2.653	4.846	8.635
"K00496"	90.982	27.558	5.987	14.916	27.998	17.305	50.561	31.819
"K00499"	127.113	32.632	8.65	8.985	26.526	28.356	51.932	74.07
"K00500"	83.192	41.383	9.308	15.112	24.834	21.352	49.075	16.546
"K00504"	5.446	3.796	1.826	4.171	5.569	4.873	7.476	5.748
"K00505"	9.189	7.412	2.073	2.998	4.065	3.792	5.726	9.517
"K00507"	163.548	79.257	16.42	60.847	64.306	61.644	100.348	152.423
"K00508"	64.681	34.362	13.66	15.271	20.379	24.12	64.008	14.198
"K00511"	1.022	0.856	0.428	0	0.838	1.359	1.663	1.091
"K00514"	1.995	1.786	0.578	1.409	0.547	1.104	1.224	4.311
"K00518"	30.77	33.831	9.744	72.377	27.161	15.215	19.464	22.297
